,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
111,Brandon Saad,20,CHI,LW,46,10,0.22,0.37,0.59,0.22,0.26,2.13,19,32,51,19,44,7,25,5,17,2.1,1.4,3.5,4,1,3,25.0,saadbr01
112,Brandon Segal,29,NYR,RW,1,0,0.00,0.00,0.00,0.00,2.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,segalbr01
113,Brandon Sutter,23,PIT,C,48,8,0.23,0.17,0.40,0.17,0.08,1.71,21,15,36,16,31,6,37,15,3,1.1,0.7,1.9,0,,,,suttebr03
114,Brandon Yip,27,NSH,RW,34,3,0.09,0.15,0.24,0.09,0.76,1.03,6,9,15,6,12,1,16,2,-3,0.1,0.4,0.4,1,0,1,0.0,yipbr01
115,Brayden Schenn,21,PHI,C,47,9,0.17,0.38,0.55,0.20,0.51,1.68,15,34,49,17,39,13,34,0,-8,1.8,0.5,2.3,1,0,1,0.0,schenbr01
116,Braydon Coburn,27,PHI,D,33,2,0.03,0.12,0.15,0.05,1.24,1.15,2,7,9,3,23,0,44,11,-10,-0.2,0.9,0.7,0,,,,coburbr01
117,Brendan Gallagher,20,MTL,RW,44,11,0.34,0.30,0.64,0.26,0.75,2.66,29,24,53,22,44,9,25,0,10,3.0,1.0,4.0,2,1,1,50.0,gallabr01
118,Brendan Mikkelson,25,TBL,D,4,0,0.00,0.25,0.25,0.07,1.50,0.00,0,2,2,1,2,0,1,0,1,0.1,0.1,0.2,0,,,,mikkebr01
119,Brendan Smith,23,DET,D,34,2,0.00,0.24,0.24,0.06,1.06,0.97,0,15,15,4,16,2,18,5,1,0.1,1.6,1.7,0,,,,smithbr05
120,Brenden Dillon,22,DAL,D,48,3,0.06,0.10,0.17,0.06,1.35,1.56,6,9,15,6,35,0,48,14,1,0.0,2.1,2.1,0,,,,dillobr01
121,Brenden Morrow,34,TOT,LW,44,10,0.27,0.30,0.57,0.22,0.84,1.25,24,24,48,20,40,11,33,1,-3,2.3,0.5,2.8,0,,,,morrobr01
121,Brenden Morrow,34,DAL,LW,29,5,0.21,0.17,0.38,0.16,0.62,1.07,12,9,21,9,20,6,22,0,-8,0.7,0.1,0.8,0,,,,morrobr01
